company_name,tenant,instance,site,error
Delta Air Lines,delta,,,Could not resolve Workday instance/site for tenant 'delta'
Deutsche Bank,deutschebank,,,Could not resolve Workday instance/site for tenant 'deutschebank'
Devon Energy,devon,,,Could not resolve Workday instance/site for tenant 'devon'
DexCom,dexcom,wd1,Dexcom,
Diamondback Energy,diamondbackenergy,wd12,DBE,
Digital Realty,digitalrealty,,,Could not resolve Workday instance/site for tenant 'digitalrealty'
Dominion Energy,dominionenergy,,,Could not resolve Workday instance/site for tenant 'dominionenergy'
Dover,dovercrp,,,Could not resolve Workday instance/site for tenant 'dovercrp'
Duke Energy,duke,,,Could not resolve Workday instance/site for tenant 'duke'
EMCOR Group,emcor,,,Could not resolve Workday instance/site for tenant 'emcor'
EOG Resources,eog,,,Could not resolve Workday instance/site for tenant 'eog'
EQT Corp,eqt,,,Could not resolve Workday instance/site for tenant 'eqt'
Eaton,eaton,,,Could not resolve Workday instance/site for tenant 'eaton'
EchoStar,echostar,wd501,echostar,
Edison International,edisonintl,,,Could not resolve Workday instance/site for tenant 'edisonintl'
Edwards Lifesciences,edwards,wd5,EdwardsCareers,
Electronic Arts,ea,,,Could not resolve Workday instance/site for tenant 'ea'
Emerson Electric,emerson,wd5,Emerson_College_Affiliated_Faculty,
Enbridge,enbridge,wd3,Summer_Student_Career_Site,
Energy Transfer,energytransfer,,,Could not resolve Workday instance/site for tenant 'energytransfer'
Entergy,entergy,,,Could not resolve Workday instance/site for tenant 'entergy'
Enterprise Products,enterpriseproducts,,,Could not resolve Workday instance/site for tenant 'enterpriseproducts'
Ericsson,ericsson,,,Could not resolve Workday instance/site for tenant 'ericsson'
Estee Lauder,elcompanies,,,Could not resolve Workday instance/site for tenant 'elcompanies'
Exelon,exelon,,,Could not resolve Workday instance/site for tenant 'exelon'
Extra Space Storage,extraspace,wd5,ESS_External,
Fastenal,fastenal,,,Could not resolve Workday instance/site for tenant 'fastenal'
FedEx,fedex,wd1,FCC_External,
Ferguson,ferguson,wd1,Amerock,
Fifth Third Bancorp,fifththird,wd5,53careers,
First Solar,firstsolar,,,Could not resolve Workday instance/site for tenant 'firstsolar'
Fiserv,fiserv,wd5,EXT,
Flex,flex,,,Could not resolve Workday instance/site for tenant 'flex'
Ford Motor,ford,,,Could not resolve Workday instance/site for tenant 'ford'
Fortinet,fortinet,,,Could not resolve Workday instance/site for tenant 'fortinet'
Fortis,fortis,,,Could not resolve Workday instance/site for tenant 'fortis'
Franco-Nevada,franconevada,,,Could not resolve Workday instance/site for tenant 'franconevada'
Freeport-McMoRan,fcx,,,Could not resolve Workday instance/site for tenant 'fcx'
GE Aerospace,ge,,,Could not resolve Workday instance/site for tenant 'ge'
GE Vernova,gevernova,wd5,Vernova_ExternalSite,
GSK,gsk,wd5,GSKCareers,
Garmin,garmin,,,Could not resolve Workday instance/site for tenant 'garmin'
General Dynamics,gd,,,Could not resolve Workday instance/site for tenant 'gd'
General Motors,generalmotors,wd5,Careers_GM,
Gold Fields,goldfields,,,Could not resolve Workday instance/site for tenant 'goldfields'
Goldman Sachs,goldmansachs,,,Could not resolve Workday instance/site for tenant 'goldmansachs'
HCA Healthcare,hca,,,Could not resolve Workday instance/site for tenant 'hca'
HEICO,heico,,,Could not resolve Workday instance/site for tenant 'heico'
HSBC,hsbc,,,Could not resolve Workday instance/site for tenant 'hsbc'
Haleon,haleon,,,Could not resolve Workday instance/site for tenant 'haleon'
Halliburton,halliburton,,,Could not resolve Workday instance/site for tenant 'halliburton'
Hartford Insurance,thehartford,wd5,Careers_External,
Hershey,hershey,,,Could not resolve Workday instance/site for tenant 'hershey'
Hilton,hilton,,,Could not resolve Workday instance/site for tenant 'hilton'
Honeywell,honeywell,,,Could not resolve Workday instance/site for tenant 'honeywell'
Howmet Aerospace,howmet,,,Could not resolve Workday instance/site for tenant 'howmet'
IBM,ibm,,,Could not resolve Workday instance/site for tenant 'ibm'
ING Groep,ing,wd3,ICSAUSDIR,
Ingersoll Rand,ingersollrand,,,Could not resolve Workday instance/site for tenant 'ingersollrand'
Interactive Brokers,ibkr,,,Could not resolve Workday instance/site for tenant 'ibkr'
Intercontinental Exch,ice,,,Could not resolve Workday instance/site for tenant 'ice'
Intuit,intuit,,,Could not resolve Workday instance/site for tenant 'intuit'
Intuitive Surgical,intuitive,wd1,irtc_careers,
Iron Mountain,ironmountain,wd5,iron-mountain-jobs,
JPMorgan Chase,jpmorgan,,,Could not resolve Workday instance/site for tenant 'jpmorgan'
KKR,kkr,,,Could not resolve Workday instance/site for tenant 'kkr'
Kenvue,kenvue,,,Could not resolve Workday instance/site for tenant 'kenvue'
Keurig Dr Pepper,keurigdrpepper,,,Could not resolve Workday instance/site for tenant 'keurigdrpepper'
Keysight,keysight,,,Could not resolve Workday instance/site for tenant 'keysight'
Kimberly-Clark,kimberlyclark,wd1,Arbex,
Kinder Morgan,kindermorgan,,,Could not resolve Workday instance/site for tenant 'kindermorgan'
Kinross Gold,kinross,,,Could not resolve Workday instance/site for tenant 'kinross'
Kroger,kroger,,,Could not resolve Workday instance/site for tenant 'kroger'
L3Harris,l3harris,,,Could not resolve Workday instance/site for tenant 'l3harris'
Lam Research,lamresearch,,,Could not resolve Workday instance/site for tenant 'lamresearch'
Las Vegas Sands,sands,wd1,sands_careers,
Linde,linde,,,Could not resolve Workday instance/site for tenant 'linde'
Lockheed Martin,lmco,,,Could not resolve Workday instance/site for tenant 'lmco'
Lowe's,lowes,,,Could not resolve Workday instance/site for tenant 'lowes'
M&T Bank,mtb,wd5,WTExternal,
MACOM Technology,macom,,,Could not resolve Workday instance/site for tenant 'macom'
MPLX,mpc,wd1,MPCCareers,
MSCI,msci,,,Could not resolve Workday instance/site for tenant 'msci'
Manulife Financial,manulife,wd3,MFCJH_Jobs,
Marathon Petroleum,mpc,wd1,MPCCareers,
Marriott,marriott,,,Could not resolve Workday instance/site for tenant 'marriott'
Marsh & McLennan,mmc,,,Could not resolve Workday instance/site for tenant 'mmc'
Martin Marietta,martinmarietta,,,Could not resolve Workday instance/site for tenant 'martinmarietta'
MasTec,mastec,,,Could not resolve Workday instance/site for tenant 'mastec'
McDonald's,mcdonalds,,,Could not resolve Workday instance/site for tenant 'mcdonalds'
McKesson,mckesson,wd3,CoverMyMeds_External_Careers,
Medline,medline,wd5,Medline,
Medtronic,medtronic,wd1,MedtronicCareers,
MetLife,metlife,,,Could not resolve Workday instance/site for tenant 'metlife'
Microchip Technology,microchip,,,Could not resolve Workday instance/site for tenant 'microchip'
Mondelez,mondelez,,,Could not resolve Workday instance/site for tenant 'mondelez'
Monolithic Power,mpssemi,,,Could not resolve Workday instance/site for tenant 'mpssemi'
Monster Beverage,monsterbevcorp,,,Could not resolve Workday instance/site for tenant 'monsterbevcorp'
Moody's,moodys,,,Could not resolve Workday instance/site for tenant 'moodys'
Morgan Stanley,morganstanley,,,Could not resolve Workday instance/site for tenant 'morganstanley'
NRG Energy,nrg,,,Could not resolve Workday instance/site for tenant 'nrg'
NVIDIA,nvidia,wd5,NVIDIAExternalCareerSite,
NXP Semiconductors,nxp,wd3,careers,
Nasdaq,nasdaq,wd1,Global_External_Site,
NatWest,natwest,,,Could not resolve Workday instance/site for tenant 'natwest'
Natera,natera,,,Could not resolve Workday instance/site for tenant 'natera'
National Grid,nationalgrid,,,Could not resolve Workday instance/site for tenant 'nationalgrid'
NetApp,netapp,,,Could not resolve Workday instance/site for tenant 'netapp'
Netflix,netflix,wd108,Eyeline,
Newmont,newmont,,,Could not resolve Workday instance/site for tenant 'newmont'
NextEra Energy,nexteraenergy,,,Could not resolve Workday instance/site for tenant 'nexteraenergy'
Nokia,nokia,,,Could not resolve Workday instance/site for tenant 'nokia'
Norfolk Southern,nscorp,,,Could not resolve Workday instance/site for tenant 'nscorp'
Northrop Grumman,northropgrumman,,,Could not resolve Workday instance/site for tenant 'northropgrumman'
Novo Nordisk,novonordisk,,,Could not resolve Workday instance/site for tenant 'novonordisk'
Nucor,nucor,,,Could not resolve Workday instance/site for tenant 'nucor'
Nutrien,nutrien,,,Could not resolve Workday instance/site for tenant 'nutrien'
ON Semiconductor,onsemi,,,Could not resolve Workday instance/site for tenant 'onsemi'
PACCAR,paccar,,,Could not resolve Workday instance/site for tenant 'paccar'
PG&E,pge,,,Could not resolve Workday instance/site for tenant 'pge'
Palo Alto Networks,paloaltonetworks,,,Could not resolve Workday instance/site for tenant 'paloaltonetworks'
Parker-Hannifin,parker,,,Could not resolve Workday instance/site for tenant 'parker'
PayPal,paypal,,,Could not resolve Workday instance/site for tenant 'paypal'
Paychex,paychex,,,Could not resolve Workday instance/site for tenant 'paychex'
Pembina Pipeline,pembina,,,Could not resolve Workday instance/site for tenant 'pembina'
PepsiCo,pepsico,,,Could not resolve Workday instance/site for tenant 'pepsico'
Pfizer,pfizer,wd1,Canada_Only_External,
Philip Morris Intl,pmi,,,Could not resolve Workday instance/site for tenant 'pmi'
Phillips 66,phillips66,,,Could not resolve Workday instance/site for tenant 'phillips66'
Progressive,progressive,,,Could not resolve Workday instance/site for tenant 'progressive'
Prologis,prologis,wd5,Broadbean_CareerSite,
Public Service Enterprise,pseg,,,Could not resolve Workday instance/site for tenant 'pseg'
Public Storage,publicstorage,,,Could not resolve Workday instance/site for tenant 'publicstorage'
Quanta Services,quantaservices,,,Could not resolve Workday instance/site for tenant 'quantaservices'
RELX,relx,wd3,ciriumcareers,
Raymond James,raymondjames,wd1,RaymondJamesCareers,
Regeneron,regeneron,wd1,Careers,
Republic Services,republicservices,,,Could not resolve Workday instance/site for tenant 'republicservices'
ResMed,resmed,wd3,Aria_Health_Careers,
Rio Tinto,riotinto,,,Could not resolve Workday instance/site for tenant 'riotinto'
Rocket Companies,rocket,wd5,rocket_careers,
Rocket Lab,rocketlab,,,Could not resolve Workday instance/site for tenant 'rocketlab'
Rockwell Automation,rockwellautomation,wd1,External-ERGs,
Roper Technologies,ropertech,,,Could not resolve Workday instance/site for tenant 'ropertech'
Ross Stores,rossstores,,,Could not resolve Workday instance/site for tenant 'rossstores'
Royal Caribbean,royalcaribbean,,,Could not resolve Workday instance/site for tenant 'royalcaribbean'
Royalty Pharma,royaltypharma,,,Could not resolve Workday instance/site for tenant 'royaltypharma'
SLB (Schlumberger),slb,,,Could not resolve Workday instance/site for tenant 'slb'
STMicroelectronics,st,,,Could not resolve Workday instance/site for tenant 'st'
Sanofi,sanofi,wd3,SanofiCareers,
Seagate,seagate,,,Could not resolve Workday instance/site for tenant 'seagate'
Sempra,sempra,,,Could not resolve Workday instance/site for tenant 'sempra'
Sherwin-Williams,sherwinwilliams,,,Could not resolve Workday instance/site for tenant 'sherwinwilliams'
Simon Property,simon,wd1,Simon,
Snowflake,snowflake,,,Could not resolve Workday instance/site for tenant 'snowflake'
Southern Company,southernco,,,Could not resolve Workday instance/site for tenant 'southernco'
Starbucks,starbucks,,,Could not resolve Workday instance/site for tenant 'starbucks'
Steel Dynamics,steeldynamics,,,Could not resolve Workday instance/site for tenant 'steeldynamics'
Sterling Infrastructure,sterling,,,Could not resolve Workday instance/site for tenant 'sterling'
Strategy (MicroStrategy),microstrategy,,,Could not resolve Workday instance/site for tenant 'microstrategy'
Sun Life Financial,sunlife,wd3,Campus,
Suncor Energy,suncor,wd1,Suncor_External,
Super Micro Computer,supermicro,,,Could not resolve Workday instance/site for tenant 'supermicro'
Synopsys,synopsys,,,Could not resolve Workday instance/site for tenant 'synopsys'
Sysco,sysco,,,Could not resolve Workday instance/site for tenant 'sysco'
TC Energy,tcenergy,wd3,CAREER_SITE_TC,
TE Connectivity,te,,,Could not resolve Workday instance/site for tenant 'te'
TJX Companies,tjx,,,Could not resolve Workday instance/site for tenant 'tjx'
TKO Group,tko,,,Could not resolve Workday instance/site for tenant 'tko'
Take-Two Interactive,take2,,,Could not resolve Workday instance/site for tenant 'take2'
Targa Resources,targaresources,,,Could not resolve Workday instance/site for tenant 'targaresources'
TechnipFMC,technipfmc,,,Could not resolve Workday instance/site for tenant 'technipfmc'
Teck Resources,teck,,,Could not resolve Workday instance/site for tenant 'teck'
Teradyne,teradyne,,,Could not resolve Workday instance/site for tenant 'teradyne'
Teva Pharma,teva,,,Could not resolve Workday instance/site for tenant 'teva'
Texas Pacific Land,tpl,,,Could not resolve Workday instance/site for tenant 'tpl'
Thermo Fisher,thermofisher,,,Could not resolve Workday instance/site for tenant 'thermofisher'
TotalEnergies,totalenergies,,,Could not resolve Workday instance/site for tenant 'totalenergies'
TransDigm,transdigm,,,Could not resolve Workday instance/site for tenant 'transdigm'
UBS Group,ubs,,,Could not resolve Workday instance/site for tenant 'ubs'
UPS,ups,,,Could not resolve Workday instance/site for tenant 'ups'
Ubiquiti,ubiquiti,,,Could not resolve Workday instance/site for tenant 'ubiquiti'
Union Pacific,up,,,Could not resolve Workday instance/site for tenant 'up'
United Airlines,united,,,Could not resolve Workday instance/site for tenant 'united'
United Rentals,ur,wd1,URcareers,
UnitedHealth (Optum),uhg,,,Could not resolve Workday instance/site for tenant 'uhg'
VICI Properties,vici,,,Could not resolve Workday instance/site for tenant 'vici'
Valero Energy,valero,,,Could not resolve Workday instance/site for tenant 'valero'
Venture Global,ventureglobal,,,Could not resolve Workday instance/site for tenant 'ventureglobal'
VeriSign,verisign,,,Could not resolve Workday instance/site for tenant 'verisign'
Vertex Pharma,vrtx,wd501,Vertex_Careers,
Viking Holdings,viking,,,Could not resolve Workday instance/site for tenant 'viking'
Vistra,vistra,,,Could not resolve Workday instance/site for tenant 'vistra'
Vodafone,vodafone,,,Could not resolve Workday instance/site for tenant 'vodafone'
Vulcan Materials,vulcanmaterials,,,Could not resolve Workday instance/site for tenant 'vulcanmaterials'
W.W. Grainger,grainger,,,Could not resolve Workday instance/site for tenant 'grainger'
WEC Energy,wecenergy,,,Could not resolve Workday instance/site for tenant 'wecenergy'
Wabtec,wabtec,,,Could not resolve Workday instance/site for tenant 'wabtec'
Walt Disney,disney,wd5,disneycareer,
Waste Connections,wasteconnections,wd1,Careers,
Waste Management,wm,,,Could not resolve Workday instance/site for tenant 'wm'
Waters,waters,,,Could not resolve Workday instance/site for tenant 'waters'
Wells Fargo,wellsfargo,,,Could not resolve Workday instance/site for tenant 'wellsfargo'
Welltower,welltower,,,Could not resolve Workday instance/site for tenant 'welltower'
Western Digital,westerndigital,,,Could not resolve Workday instance/site for tenant 'westerndigital'
Wheaton Precious Metals,wheatonpm,,,Could not resolve Workday instance/site for tenant 'wheatonpm'
Woodside Energy,woodside,,,Could not resolve Workday instance/site for tenant 'woodside'
Yum! Brands,yum,,,Could not resolve Workday instance/site for tenant 'yum'
Zoom,zoom,,,Could not resolve Workday instance/site for tenant 'zoom'
eBay,ebay,wd5,TCGPlayer_External_Career,
nVent Electric,nvent,wd5,nVent,
